Row_ID,date,state,state_name,death,deathConfirmed,deathIncrease,hospitalizedCurrently,hospitalizedCumulative,hospitalizedIncrease,inIcuCurrently,onVentilatorCurrently,positive,positiveCasesViral,positiveIncrease,negative,negativeIncrease,totalTestResults,totalTestResultsIncrease,totalTestsViral,totalTestsViralIncrease,totalTestsPeopleViral,totalTestsPeopleViralIncrease,recovered
00197,2020-03-05,DC,District of Columbia,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
00198,2020-03-05,FL,Florida,0,0,0,0,0,0,0,0,7,0,4,31,7,41,19,0,0,0,0,0
00199,2020-03-05,GA,Georgia,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
00200,2020-03-05,HI,Hawaii,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0
00201,2020-03-05,IL,Illinois,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0
00202,2020-03-05,IN,Indiana,0,0,0,0,0,0,0,0,0,0,0,0,0,17,5,17,5,0,0,0
00203,2020-03-05,MA,Massachusetts,0,0,0,0,0,0,0,0,2,2,0,0,0,102,36,102,36,0,0,0
00204,2020-03-05,MD,Maryland,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
00205,2020-03-05,MI,Michigan,0,0,0,0,0,0,0,0,100,100,26,0,0,0,0,0,0,0,0,0
00206,2020-03-05,NC,North Carolina,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
00207,2020-03-05,NE,Nebraska,0,0,0,0,0,0,0,0,0,0,0,17,17,66,18,66,18,0,0,0
00208,2020-03-05,NH,New Hampshire,0,0,0,0,0,0,0,0,2,0,0,16,6,9,3,9,3,0,0,0
00209,2020-03-05,NJ,New Jersey,0,0,0,0,0,0,0,0,2,2,2,0,0,2,2,0,0,1,1,0
00210,2020-03-05,NM,New Mexico,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
00211,2020-03-05,NV,Nevada,0,0,0,0,0,0,0,0,1,1,0,14,0,32,0,0,0,0,0,0
